pixel	lat	lon
0	90.000000	-180.000000
1	88.000000	-150.000000
2	88.000000	-90.000000
3	88.000000	-30.000000
4	88.000000	30.000000
5	88.000000	90.000000
6	88.000000	150.000000
7	86.000000	-180.000000
8	86.000000	-152.307692
9	86.000000	-124.615385
10	86.000000	-96.923077
11	86.000000	-69.230769
12	86.000000	-41.538462
13	86.000000	-13.846154
14	86.000000	13.846154
15	86.000000	41.538462
16	86.000000	69.230769
17	86.000000	96.923077
18	86.000000	124.615385
19	86.000000	152.307692
20	84.000000	-170.526316
21	84.000000	-151.578947
22	84.000000	-132.631579
23	84.000000	-113.684211
24	84.000000	-94.736842
25	84.000000	-75.789474
26	84.000000	-56.842105
27	84.000000	-37.894737
28	84.000000	-18.947368
29	84.000000	-0.000000
30	84.000000	18.947368
31	84.000000	37.894737
32	84.000000	56.842105
33	84.000000	75.789474
34	84.000000	94.736842
35	84.000000	113.684211
36	84.000000	132.631579
37	84.000000	151.578947
38	84.000000	170.526316
39	82.000000	-180.000000
40	82.000000	-165.600000
41	82.000000	-151.200000
42	82.000000	-136.800000
43	82.000000	-122.400000
44	82.000000	-108.000000
45	82.000000	-93.600000
46	82.000000	-79.200000
47	82.000000	-64.800000
48	82.000000	-50.400000
49	82.000000	-36.000000
50	82.000000	-21.600000
51	82.000000	-7.200000
52	82.000000	7.200000
53	82.000000	21.600000
54	82.000000	36.000000
55	82.000000	50.400000
56	82.000000	64.800000
57	82.000000	79.200000
58	82.000000	93.600000
59	82.000000	108.000000
60	82.000000	122.400000
61	82.000000	136.800000
62	82.000000	151.200000
63	82.000000	165.600000
64	80.000000	-174.193548
65	80.000000	-162.580645
66	80.000000	-150.967742
67	80.000000	-139.354839
68	80.000000	-127.741935
69	80.000000	-116.129032
70	80.000000	-104.516129
71	80.000000	-92.903226
72	80.000000	-81.290323
73	80.000000	-69.677419
74	80.000000	-58.064516
75	80.000000	-46.451613
76	80.000000	-34.838710
77	80.000000	-23.225806
78	80.000000	-11.612903
79	80.000000	-0.000000
80	80.000000	11.612903
81	80.000000	23.225806
82	80.000000	34.838710
83	80.000000	46.451613
84	80.000000	58.064516
85	80.000000	69.677419
86	80.000000	81.290323
87	80.000000	92.903226
88	80.000000	104.516129
89	80.000000	116.129032
90	80.000000	127.741935
91	80.000000	139.354839
92	80.000000	150.967742
93	80.000000	162.580645
94	80.000000	174.193548
95	78.000000	-180.000000
96	78.000000	-170.270270
97	78.000000	-160.540541
98	78.000000	-150.810811
99	78.000000	-141.081081
100	78.000000	-131.351351
101	78.000000	-121.621622
102	78.000000	-111.891892
103	78.000000	-102.162162
104	78.000000	-92.432432
105	78.000000	-82.702703
106	78.000000	-72.972973
107	78.000000	-63.243243
108	78.000000	-53.513514
109	78.000000	-43.783784
110	78.000000	-34.054054
111	78.000000	-24.324324
112	78.000000	-14.594595
113	78.000000	-4.864865
114	78.000000	4.864865
115	78.000000	14.594595
116	78.000000	24.324324
117	78.000000	34.054054
118	78.000000	43.783784
119	78.000000	53.513514
120	78.000000	63.243243
121	78.000000	72.972973
122	78.000000	82.702703
123	78.000000	92.432432
124	78.000000	102.162162
125	78.000000	111.891892
126	78.000000	121.621622
127	78.000000	131.351351
128	78.000000	141.081081
129	78.000000	150.810811
130	78.000000	160.540541
131	78.000000	170.270270
132	76.000000	-175.909091
133	76.000000	-167.727273
134	76.000000	-159.545455
135	76.000000	-151.363636
136	76.000000	-143.181818
137	76.000000	-135.000000
138	76.000000	-126.818182
139	76.000000	-118.636364
140	76.000000	-110.454545
141	76.000000	-102.272727
142	76.000000	-94.090909
143	76.000000	-85.909091
144	76.000000	-77.727273
145	76.000000	-69.545455
146	76.000000	-61.363636
147	76.000000	-53.181818
148	76.000000	-45.000000
149	76.000000	-36.818182
150	76.000000	-28.636364
151	76.000000	-20.454545
152	76.000000	-12.272727
153	76.000000	-4.090909
154	76.000000	4.090909
155	76.000000	12.272727
156	76.000000	20.454545
157	76.000000	28.636364
158	76.000000	36.818182
159	76.000000	45.000000
160	76.000000	53.181818
161	76.000000	61.363636
162	76.000000	69.545455
163	76.000000	77.727273
164	76.000000	85.909091
165	76.000000	94.090909
166	76.000000	102.272727
167	76.000000	110.454545
168	76.000000	118.636364
169	76.000000	126.818182
170	76.000000	135.000000
171	76.000000	143.181818
172	76.000000	151.363636
173	76.000000	159.545455
174	76.000000	167.727273
