# time pixelation values
# data save on: 2024-05-14T14:20:45-03:00
equator	age	stage-pixel	value
180	0	46	101
180	0	47	101
180	0	48	101
180	0	49	101
180	0	50	101
180	0	71	101
180	0	72	101
180	0	74	101
180	0	75	101
180	0	76	101
180	0	77	101
180	0	81	5
180	0	87	5
180	0	105	101
180	0	107	101
180	0	108	101
180	0	109	101
180	0	110	101
180	0	111	101
180	0	115	5
180	0	141	101
180	0	147	101
180	0	148	101
180	0	149	101
180	0	150	101
180	0	161	5
180	0	165	101
180	0	166	101
180	0	167	101
180	0	184	101
180	0	188	101
180	0	194	101
180	0	195	5
180	0	196	5
180	0	197	5
180	0	198	101
180	0	209	101
180	0	214	101
180	0	215	101
180	0	216	101
180	0	220	101
180	0	234	101
180	0	236	101
180	0	237	101
180	0	238	101
180	0	240	101
180	0	241	101
180	0	245	5
180	0	246	5
180	0	247	5
180	0	248	5
180	0	249	5
180	0	250	5
180	0	262	101
180	0	266	101
180	0	267	101
180	0	268	101
180	0	269	101
180	0	270	101
180	0	271	101
180	0	272	101
180	0	273	101
180	0	276	101
180	0	286	101
180	0	287	101
180	0	288	101
180	0	291	101
180	0	293	101
180	0	294	101
180	0	295	101
180	0	297	101
180	0	299	101
180	0	300	101
180	0	301	101
180	0	304	5
180	0	305	5
180	0	306	5
180	0	307	5
180	0	308	5
180	0	309	5
180	0	317	101
180	0	318	101
180	0	325	101
180	0	326	101
180	0	327	101
180	0	328	101
180	0	329	101
180	0	330	101
180	0	331	101
180	0	332	101
180	0	333	101
180	0	334	101
180	0	335	101
180	0	336	101
180	0	337	101
180	0	338	101
180	0	339	101
180	0	340	101
180	0	344	101
180	0	347	101
180	0	348	101
180	0	349	101
180	0	350	101
180	0	351	101
180	0	352	101
180	0	353	101
180	0	354	101
180	0	355	101
180	0	359	101
180	0	360	101
180	0	361	101
180	0	363	101
180	0	364	101
180	0	365	101
180	0	368	5
180	0	369	5
180	0	370	5
180	0	371	5
180	0	380	101
180	0	381	101
180	0	382	101
180	0	383	101
180	0	384	101
180	0	387	101
180	0	388	101
180	0	389	101
180	0	390	101
180	0	391	101
180	0	392	101
180	0	393	101
180	0	394	101
180	0	395	101
180	0	396	101
180	0	397	101
180	0	398	101
180	0	399	101
180	0	400	101
180	0	401	101
180	0	402	101
180	0	403	101
180	0	404	101
180	0	405	101
180	0	406	101
180	0	407	101
180	0	408	101
180	0	409	101
180	0	410	101
180	0	411	101
180	0	412	101
180	0	413	101
180	0	414	101
180	0	415	101
180	0	416	101
180	0	417	101
180	0	418	101
180	0	419	101
180	0	420	101
180	0	421	101
180	0	422	101
180	0	423	101
180	0	424	101
180	0	425	101
180	0	426	101
180	0	427	101
180	0	428	101
180	0	429	101
180	0	430	101
180	0	433	101
180	0	437	5
180	0	438	5
180	0	439	5
180	0	440	5
180	0	443	5
180	0	444	101
180	0	451	101
180	0	452	101
180	0	453	101
180	0	454	101
180	0	456	101
180	0	457	101
180	0	458	101
180	0	459	101
180	0	460	101
180	0	461	101
180	0	462	101
180	0	463	101
